epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.98754,1.27611,1.21441,1.17944,0,0,0,0,0,0,0,0.00028,0.00028,0.00028
2,6.69377,1.12017,0.7934,1.12212,0,0,0,0,0,0,0,0.000574206,0.000574206,0.000574206
3,9.28258,1.14385,0.86577,1.14034,0,0,0,0,0,0,0,0.000862418,0.000862418,0.000862418
4,11.9817,1.16099,0.75555,1.15166,0,0,0,0,0,0,0,0.00114464,0.00114464,0.00114464
5,14.5618,1.16268,0.76798,1.16169,0,0,0,0,0,0,0,0.00142086,0.00142086,0.00142086
6,17.1099,1.22865,0.81678,1.19523,0,0,0,0,0,0,0,0.00169109,0.00169109,0.00169109
7,19.5888,1.27846,0.8763,1.19816,0,0,0,0,0,0,0,0.00188012,0.00188012,0.00188012
8,22.0811,1.2533,0.8594,1.18411,0,0,0,0,0,0,0,0.00186014,0.00186014,0.00186014
9,24.5724,1.16083,0.75808,1.15296,0,0,0,0,0,0,0,0.00184016,0.00184016,0.00184016
10,27.1626,1.14957,0.75077,1.16057,0,0,0,0,0,0,0,0.00182018,0.00182018,0.00182018
11,29.7994,1.1187,0.71585,1.14039,0,0,0,0,0,0,0,0.0018002,0.0018002,0.0018002
12,32.4914,1.11429,0.72773,1.16046,0,0,0,0,0,0,0,0.00178022,0.00178022,0.00178022
13,34.9932,1.12216,0.70437,1.14483,0,0,0,0,0,0,0,0.00176024,0.00176024,0.00176024
14,37.5949,1.14456,0.72482,1.13424,0,0,0,0,0,0,0,0.00174026,0.00174026,0.00174026
15,40.1856,1.04045,0.6392,1.09967,0,0,0,0,0,0,0,0.00172028,0.00172028,0.00172028
16,42.6921,1.07097,0.6716,1.11584,0,0,0,0,0,0,0,0.0017003,0.0017003,0.0017003
17,45.1639,1.08682,0.65526,1.11172,0,0,0,0,0,0,0,0.00168032,0.00168032,0.00168032
18,47.6617,1.02576,0.6349,1.10207,0,0,0,0,0,0,0,0.00166034,0.00166034,0.00166034
19,50.2622,1.01922,0.62738,1.08766,0,0,0,0,0,0,0,0.00164036,0.00164036,0.00164036
